[Flagstaff, AZ,5.5423841756391825]
[Providence, RI,8.782566574113787]
[Ontario, CA,7.271251438349288]
[Barrow, AK,13.442964480874316]
[International Falls, MN,9.493726132024005]
[Monterey, CA,9.815363990081245]
[Indianapolis, IN,8.62692445718659]
[Appleton, WI,11.804498883625817]
[San Diego, CA,8.61314018736268]
[Lanai, HI,1.463768115942029]
[Akron, OH,10.120684880930405]
[Baton Rouge, LA,10.596512587285936]
[Columbia, MO,14.32288794184006]
[New Bern/Morehead/Beaufort, NC,11.831297600229918]
[Hickory, NC,10.70483870967742]
[Nome, AK,12.239394167734158]
[Baltimore, MD,10.854891397564437]
[Devils Lake, ND,16.962472406181014]
[Pellston, MI,10.79108734402852]
[Islip, NY,8.219713698511375]
[State College, PA,7.998491400985618]
[Christiansted, VI,7.680322543661864]
[Ogden, UT,143.66666666666666]
[Atlanta, GA,11.44114304797387]
[Saipan, Northern Mariana Islands,13.078179291174427]
[Laramie, WY,12.540097205346294]
[Greenville, MS,0.0]
[Garden City, KS,12.851485148514852]
[Rochester, NY,9.792093969785332]
[Toledo, OH,7.607728644534838]
[Jackson/Vicksburg, MS,9.039394655757542]
[Wichita, KS,8.707438871025104]
[Fresno, CA,9.070493041846408]
[Valdosta, GA,12.162508378640053]
[Brunswick, GA,10.9724554657459]
[Alpena, MI,8.441666666666666]
[Springfield, MO,11.684612523052326]
[Koror, TT,11.36952861952862]
[Casper, WY,7.009942464923792]
[Bellingham, WA,5.964118993135012]
[Jamestown, ND,15.541055718475073]
[Santa Ana, CA,7.76202910801746]
[Great Falls, MT,7.196886714884959]
[Green Bay, WI,8.893521126760563]
[Charlotte, NC,9.870323284464044]
[Long Beach, CA,7.250552983593071]
[Bozeman, MT,7.333238152648667]
[Manhattan/Ft. Riley, KS,12.319189971070395]
[Columbia, SC,11.054314463141216]
[Harlingen/San Benito, TX,7.225371842070068]
[Lubbock, TX,7.561876542753335]
[St. George, UT,5.932277596646483]
[Muskegon, MI,13.206308827270414]
[Farmington, NM,203.66666666666666]
[Ithaca/Cortland, NY,4.297540942555216]
[Harrisburg, PA,8.609103099304237]
[Madison, WI,9.514424210916477]
[Albuquerque, NM,8.194340559885697]
[Charlottesville, VA,9.434460188698951]
[Trenton, NJ,18.190381069452982]
[Macon, GA,15.227041187600058]
[Texarkana, AR,7.203300072467807]
[Springfield, IL,14.439860652731939]
[Phoenix, AZ,9.675045549728457]
[Hibbing, MN,5.53810623556582]
[Brainerd, MN,8.48144578313253]
[Paducah, KY,11.159977547010946]
[Rapid City, SD,7.306584108345462]
[Marathon, FL,18.349206349206348]
[Concord, CA,3.7653952205882355]
[Austin, TX,7.851181651203316]
[Scottsbluff, NE,131.0]
[Cincinnati, OH,8.928495627087589]
[Duluth, MN,7.435501343270647]
[College Station/Bryan, TX,7.640138171620096]
[Aguadilla, PR,8.658342857142857]
[Crescent City, CA,23.058001515279063]
[Sioux City, IA,5.957978535798861]
[Brownsville, TX,8.444113518879874]
[Boston, MA,10.807848860414186]
[Idaho Falls, ID,5.326911817477855]
[Utica/Rome, NY,5.410937843180321]
[Fayetteville, AR,13.769091837624403]
[Des Moines, IA,9.212212625213903]
[Watertown, NY,17.408813559322034]
[Roswell, NM,10.461722789759111]
[King Salmon, AK,12.881882202304737]
[Erie, PA,6.887958050203233]
[Manchester, NH,9.912555311200022]
[Dayton, OH,8.727923553258787]
[Stockton, CA,5.679700499168053]
[Chattanooga, TN,8.238853372253171]
[Mission/McAllen/Edinburg, TX,7.793815875886868]
[Buffalo, NY,9.774475427985182]
[Kansas City, MO,8.78588413138282]
[Evansville, IN,9.844230227976357]
[Martha's Vineyard, MA,24.18119658119658]
[El Paso, TX,7.493978773480733]
[Latrobe, PA,15.881118881118882]
[Hilton Head, SC,22.018998272884282]
[Lake Tahoe, CA,5.289156626506024]
[Little Rock, AR,8.996966611564028]
[Killeen, TX,9.900992070675985]
[Lincoln, NE,10.122455150171337]
[Los Angeles, CA,9.429816244830736]
[Jacksonville, FL,8.967221245456058]
[Pinehurst/Southern Pines, NC,27.4885993485342]
[Dubuque, IA,10.71826858044638]
[Abilene, TX,8.673680785292044]
[San Francisco, CA,12.033599162496108]
[Allentown/Bethlehem/Easton, PA,10.518513722527967]
[Bethel, AK,10.63109391207213]
[Petersburg, AK,14.82168039184025]
[Gunnison, CO,12.925256673511294]
[Pittsburgh, PA,9.482561599276961]
[San Angelo, TX,7.604738777177613]
[Saipan, TT,6.723380121933928]
[Provo, UT,0.0]
[New York, NY,11.67587069285697]
[Minot, ND,6.408557482604632]
[Marquette, MI,13.027178338762216]
[Unalaska, AK,16.179461812425803]
[Atlantic City, NJ,8.015062968145527]
[Moses Lake, WA,2.1161387631975868]
[Red River, ND,4.804347826086956]
[West Palm Beach/Palm Beach, FL,10.050409444580811]
[St. Petersburg, FL,5.939101089124099]
[Branson, MO,9.49363707776905]
[Melbourne, FL,7.200864557112168]
[Reno, NV,8.642383796374656]
[Philadelphia, PA,11.973976088180425]
[Jacksonville/Camp Lejeune, NC,9.339251713632901]
[Eagle, CO,15.277051365686246]
[Hobbs, NM,11.509768287142208]
[Cheyenne, WY,15.500676589986469]
[Guam, TT,6.094181880225218]
[Charleston, SC,9.48277684873349]
[Lafayette, LA,10.448346388769078]
[Raleigh/Durham, NC,9.24456900591251]
[Sarasota/Bradenton, FL,7.89807669748915]
[Asheville, NC,10.390628389616024]
[Mosinee, WI,13.348237950328851]
[Rochester, MN,7.036478077390744]
[Arcata/Eureka, CA,17.79185195811218]
[North Bend/Coos Bay, OR,28.38744588744589]
[Rockford, IL,6.609263657957245]
[Knoxville, TN,8.998864628493703]
[Amarillo, TX,8.174723012060007]
[Albany, NY,9.041666428273096]
[Seattle, WA,9.165147504614223]
[Rota, TT,6.472859541130386]
[Minneapolis, MN,9.161793157527288]
[Washington, DC,9.538076968822024]
[Plattsburgh, NY,18.204545454545453]
[Dallas, TX,9.3429406628698]
[Kalamazoo, MI,7.480235900619442]
[Salem, OR,6.1261363636363635]
[Daytona Beach, FL,8.881043950393847]
[Denver, CO,11.11347336299405]
[Cedar City, UT,5.900181253236665]
[Midland/Odessa, TX,7.137439143135346]
[Christiansted, Virgin Islands,10.316788321167882]
[Santa Fe, NM,12.590699368625547]
[Hays, KS,8.012594458438286]
[West Yellowstone, MT,3.2610591900311525]
[Panama City, FL,11.998306776458845]
[Lawton/Fort Sill, OK,6.974107493134563]
[Bemidji, MN,6.316966067864271]
[Lihue, HI,4.437299755633994]
[Palm Springs, CA,9.468525567615435]
[Monroe, LA,10.189225873588008]
[Moab, UT,2.1147540983606556]
[Grand Junction, CO,8.091438718923298]
[Twin Falls, ID,6.603776435045317]
[Ashland, WV,6.27052375840443]
[Grand Island, NE,10.695876288659793]
[Newburgh/Poughkeepsie, NY,8.136198971049348]
[Colorado Springs, CO,8.09534640980313]
[Santa Maria, CA,5.544474952079987]
[Jackson, WY,10.459853565495601]
[La Crosse, WI,7.139481146938347]
[St. Louis, MO,9.551441132813357]
[Gainesville, FL,10.298447439144642]
[Bristol/Johnson City/Kingsport, TN,8.997185257001673]
[Cleveland, OH,8.60260040782812]
[Naples, FL,9.453464845725847]
[Miami, FL,11.22968271760531]
[Omaha, NE,8.703877666139816]
[Fayetteville, NC,8.576823565333376]
